Figure,Path,Figure_Type,Key_Finding,Source_Attribution,Confidence
5.5 Ionic Scatter 9-Panel,figures/task5_source/fig_ionic_scatter_9panel.png,9-panel Scatter (meq/L),NO3/Cl higher at IA/DY; Ca/SO4>>1 (no gypsum); 77.8% Mixed attribution,Mixed (35/45 Mixed; 10/45 Geogenic),High
5.6 PCA Scree,figures/task5_source/fig_pca_scree.png,Bar + Cumulative Line,PC1=29.3% (mineralization); 5 PCs by Kaiser (67.4% cumulative),Mixed (PC1=mineralization; PC4=Iron geogenic),High
5.7 PCA Biplot,figures/task5_source/fig_pca_biplot.png,Biplot (scores+loadings),EC/TDS/Ca/Na cluster right (mineralization); HCO3 up (weathering); NO3/Cl down (anthropogenic),PC1=Mixed; PC2 separates Geogenic vs Anthropogenic,High
5.8 PCA Loadings,figures/task5_source/fig_pca_loadings.png,Bar Chart (4 panels),PC1: EC(0.42)/TDS(0.42); PC2: HCO3(0.49); PC3: Mg(0.51); PC4: Iron(0.63),Mapped to geochemical processes,High
5.9 PCA Loadings Heatmap,figures/task5_source/fig_pca_loadings_heatmap.png,Heatmap (14×5),Iron on PC4 = 0.793 (brightest cell); EC/TDS on PC1 equally dominant,PC4=Geogenic (Iron/laterite),High
5.10 Elbow Plot,figures/task5_source/fig_elbow.png,WCSS vs k,Optimal k=3; clusters map to seasonal chemistry,Seasonal control dominates,High
5.11 K-Means Elbow,figures/task5_source/fig_kmeans_elbow.png,WCSS + Silhouette,k=3 confirmed by both elbow and silhouette methods,Seasonal control dominates,High
5.12 K-Means PCA,figures/task5_source/fig_kmeans_pca.png,Scatter (PC1 vs PC2),Cluster 0=monsoon(high min.); Cluster 1=premonsoon(low min.); Cluster 2=postmonsoon(high NO3),Geogenic (Cl.0/1) + Anthropogenic (Cl.2 NO3),High
5.13 Dendrogram,figures/task5_source/fig_dendrogram.png,Hierarchical Dendrogram,2-3 major branches; first split=premonsoon vs monsoon/postmonsoon,Seasonal chemistry structure,High
6.1 Feature Importance,figures/task6_ml/fig_feature_importance.png,Horizontal Bar (3 panels),TDS: Ca(0.42)/Na(0.29); EC: Na(0.46)/Ca(0.21); WQI: EC(0.45)/NO3(0.14)/Iron(0.13),TDS/EC=Geogenic(Ca/Na); WQI=Mixed(EC+NO3+Iron),Moderate-High
6.2 Actual vs Predicted TDS,figures/task6_ml/fig_actual_vs_predicted_tds.png,Scatter + 1:1 Line,RF: R2=0.764 test; RMSE=49.3; CV_R2=0.753; GA=0.788,N/A - ML Performance,High
6.3 Actual vs Predicted EC,figures/task6_ml/fig_actual_vs_predicted_ec.png,Scatter + 1:1 Line,RF: R2=0.757 test; RMSE=67.6; CV_R2=0.771; MAPE=8.8%,N/A - ML Performance,High
6.4 Actual vs Predicted WQI,figures/task6_ml/fig_actual_vs_predicted_wqi.png,Scatter + 1:1 Line,NN: R2=0.936 test; RMSE=2.1; CV_R2=0.945; GA=0.946,N/A - ML Performance,High
6.5 Residuals TDS,figures/task6_ml/fig_residuals_tds.png,Residual Scatter,No systematic bias; mild heteroscedasticity at high TDS; RMSE=49.3,N/A - ML Diagnostics,High
6.6 Residuals EC,figures/task6_ml/fig_residuals_ec.png,Residual Scatter,No systematic bias; RMSE=67.6; proportionally better than TDS (MAPE 8.8%),N/A - ML Diagnostics,High
6.7 Residuals WQI,figures/task6_ml/fig_residuals_wqi.png,Residual Scatter,Tightest residuals (RMSE=2.1); no heteroscedasticity; cleanest pattern,N/A - ML Diagnostics,High
6.8 SHAP TDS,figures/task6_ml/fig_shap_tds.png,SHAP Bar Chart,Ca is top SHAP contributor for TDS (geogenic weathering),Geogenic (Ca weathering),Moderate-High
6.9 SHAP Summary TDS,figures/task6_ml/fig_shap_summary_tds.png,SHAP Beeswarm,High Ca -> positive SHAP (increases TDS); monotonic positive relationships,Geogenic (Ca/Na),Moderate-High
6.10 SHAP EC,figures/task6_ml/fig_shap_ec.png,SHAP Bar Chart,Na is top SHAP contributor for EC (highest ionic mobility),Mixed (Na geogenic+anthropogenic),Moderate-High
6.11 SHAP Summary EC,figures/task6_ml/fig_shap_summary_ec.png,SHAP Beeswarm,Na: strong positive monotonic SHAP; DO: negative SHAP impact,Mixed,Moderate-High
6.12 SHAP WQI,figures/task6_ml/fig_shap_wqi.png,SHAP Bar Chart,EC(top)/NO3/Iron drive WQI; mirrors WQI formula weights - model is interpretable,Mixed (EC) + Anthropogenic (NO3) + Geogenic (Iron),High
6.13 SHAP Summary WQI,figures/task6_ml/fig_shap_summary_wqi.png,SHAP Beeswarm,High EC->high WQI(worse); high NO3->increase WQI; low pH->increase WQI,Mixed,High
6.14 Combined Actual vs Predicted,figures/task6_ml/fig_actual_vs_predicted.png,Multi-panel Scatter,WQI (R2=0.936) > TDS (0.764) ≈ EC (0.757); all models Good-Excellent,N/A - ML Performance,High
7.1 Seasonal Radar,figures/task7_insights/fig_seasonal_radar.png,Polar Radar (16 spokes),Monsoon polygon largest for EC/TDS/TH/Na/K; Postmonsoon largest for NO3/F; Pre=baseline,Monsoon=Geogenic+Anthropogenic; Post=Anthropogenic overprint,High
